Circuit,Model,Complexity,Standard_Correct,MultiModal_Correct,Standard_LOC,MultiModal_LOC,Standard_Time,MultiModal_Time,Winner
2-to-1 MUX,claude,simple,Yes,Yes,51,51,8.01s,4.75s,tie
2-to-1 MUX,gpt-4o,simple,Yes,Yes,42,50,6.15s,3.92s,standard
D Flip-Flop,claude,simple,N/A,No,71,86,10.36s,8.38s,tie
D Flip-Flop,gpt-4o,simple,Yes,No,51,53,5.89s,2.68s,standard
4-bit Counter,claude,simple,Yes,Yes,52,61,7.42s,4.81s,standard
4-bit Counter,gpt-4o,simple,Yes,Yes,53,52,7.08s,2.74s,multimodal
Full Adder,claude,simple,Yes,Yes,71,71,9.71s,6.65s,tie
Full Adder,gpt-4o,simple,Yes,Yes,58,57,7.80s,4.03s,multimodal
2-bit Comparator,claude,simple,Yes,Yes,60,60,9.96s,7.07s,tie
2-bit Comparator,gpt-4o,simple,Yes,Yes,61,63,5.36s,4.70s,standard
4-bit ALU,claude,medium,Yes,Yes,76,89,11.46s,9.54s,standard
4-bit ALU,gpt-4o,medium,Yes,Yes,59,56,6.64s,4.38s,multimodal
8:1 Multiplexer,claude,medium,Yes,Yes,85,69,11.20s,6.92s,multimodal
8:1 Multiplexer,gpt-4o,medium,Yes,Yes,66,64,6.20s,5.21s,multimodal
Sequence Detector,claude,medium,Yes,Yes,91,92,12.06s,8.37s,standard
Sequence Detector,gpt-4o,medium,No,No,84,84,8.09s,8.80s,tie
4-bit Shift Register,claude,medium,Yes,Yes,70,72,11.08s,6.35s,standard
4-bit Shift Register,gpt-4o,medium,No,No,63,62,4.84s,2.86s,tie
Priority Encoder,claude,medium,Yes,Yes,82,87,10.92s,8.27s,standard
Priority Encoder,gpt-4o,medium,No,No,80,83,7.58s,4.84s,tie
Traffic Light Controller,claude,complex,N/A,N/A,131,130,17.07s,11.34s,tie
Traffic Light Controller,gpt-4o,complex,N/A,No,134,125,11.66s,10.01s,tie
UART Transmitter,claude,complex,N/A,N/A,172,137,19.67s,12.07s,tie
UART Transmitter,gpt-4o,complex,No,No,116,115,14.40s,9.10s,tie
8-bit Register File,claude,complex,Yes,Yes,100,95,15.26s,11.11s,multimodal
8-bit Register File,gpt-4o,complex,No,Yes,82,83,6.24s,4.80s,multimodal
PWM Generator,claude,complex,N/A,N/A,75,75,10.64s,6.28s,tie
PWM Generator,gpt-4o,complex,Yes,Yes,61,80,5.64s,5.38s,standard
SPI Master,claude,complex,N/A,N/A,126,124,19.42s,13.03s,tie
SPI Master,gpt-4o,complex,No,No,83,102,9.10s,9.52s,tie
